date,heating degrees,occupancy,steam-LBS
10/21/13,3.354166667,1,13846.5625
10/22/13,2.191666667,1,11805.46875
10/23/13,6.3875,1,16252.28516
10/24/13,7.520833333,1,18877.15495
10/25/13,9.170833333,1,20966.30208
10/26/13,7.454166667,0.5,19528.42448
10/27/13,6.508333333,0.5,18653.28125
10/28/13,7.35,1,21680.63802
10/29/13,10.4625,1,25159.79167
10/30/13,8.783333333,1,27107.95573
11/2/13,1.691666667,0.5,11195.26042
11/3/13,9.391666667,0.5,21480.20833
11/4/13,13.28333333,1,36255.33203
11/5/13,10.89166667,1,33355.52083
11/6/13,5.158333333,1,20330.93099
11/7/13,2.7125,1,17860.88542
11/8/13,10.23333333,1,33292.33724
11/9/13,10.91666667,0.5,30553.44401
11/10/13,7.466666667,0.5,23902.80599
11/11/13,8.970833333,1,28458.64583
11/12/13,13.05,1,44848.18359
11/13/13,15.69166667,1,45880.05859
11/14/13,11.40416667,1,34883.11849
11/15/13,7.629166667,1,25884.36198
11/16/13,6.779166667,0.5,24692.41536
11/17/13,5.8875,0.5,20290.08464
11/18/13,1.575,1,12431.93359
11/19/13,11.75,1,34467.65625
11/20/13,14.28333333,1,34640.88542
11/21/13,11.95416667,1,31247.44141
11/22/13,9,1,26577.98177
11/23/13,11.47916667,0.5,28830.67057
11/24/13,19.29583333,0.5,47770.98307
11/25/13,18.675,1,51195.98958
11/26/13,12.65416667,1,41913.33984
11/27/13,4.483333333,1,27684.16016
11/28/13,16.11666667,0.2,47746.23047
11/29/13,17.10833333,0.2,49462.5651
11/30/13,16.84166667,0.2,44937.40885
12/1/13,11.9875,0.2,36288.64583
12/2/13,12.85833333,0.966666667,39703.69792
12/3/13,12.075,1,34090.0651
12/4/13,12.72916667,1,37306.84245
12/5/13,7.816666667,1,28371.72526
12/6/13,6.191666667,1,23895.625
12/7/13,13.67916667,0.5,36295.20182
12/8/13,15.98333333,0.5,44209.80469
12/9/13,13.13333333,1,47347.76693
12/10/13,15.70416667,1,47567.29167
12/11/13,18.72083333,1,52698.69141
12/12/13,21.125,1,56404.89583
12/13/13,20.34166667,1,58472.39583
12/14/13,21.73333333,0.5,58207.44141
12/15/13,15.98333333,0.5,54271.15885
12/16/13,19.98333333,1,58661.60807
12/17/13,21.61666667,1,64714.47917
12/18/13,18.375,1,53939.72005
12/19/13,14.85833333,1,44024.92188
12/20/13,11.07083333,0.1,35621.92448
12/21/13,6.079166667,0.1,26527.02734
12/22/13,5.429166667,0.1,28982.91667
12/23/13,12.44583333,0.1,27145.625
12/24/13,15.1,0,26648.80208
12/25/13,21.525,0,24278.80208
12/26/13,16.59166667,0,24120.6901
12/27/13,16.3875,0,25073.89323
12/28/13,13.45,0,24146.51693
12/29/13,11.54166667,0,23450.82682
12/30/13,15.67916667,0,27309.42708
1/2/14,25.56708333,0.3,59944.52474
1/3/14,29.33368056,0.3,65988.89974
1/4/14,24.15625,0.3,46356.99219
1/5/14,14.84378472,0.3,35440.41016
1/6/14,7.144965278,0.3,29772.24609
1/7/14,24.92611111,0.3,59491.35417
1/8/14,24.75611111,0.3,61982.29167
1/9/14,19.88534722,0.3,50232.48698
1/10/14,16.30802083,0.3,42786.30208
1/11/14,4.516493056,0.3,19111.88151
1/12/14,8.137152778,0.3,22516.40625
1/13/14,8.902777778,0.3,29020.98958
1/14/14,5.903263889,0.3,22835.20833
1/15/14,9.160069444,0.3,25729.33594
1/16/14,11.976875,0.3,31463.00781
1/17/14,10.35246528,0.3,27228.69792
1/18/14,13.18586806,0.3,28409.68099
1/19/14,14.9496875,0.3,32788.13802
1/20/14,13.22920139,0.3,39415.61849
1/21/14,24.53934028,0.3,59146.66016
1/22/14,26.38090278,0.3,64217.25911
1/23/14,25.86166667,0.3,60373.21615
1/24/14,25.75381944,0.3,59876.45833
1/25/14,17.47559028,0.3,43705.78125
1/26/14,21.82472222,0.491666667,50637.59635
1/27/14,15.08440972,1,51136.01042
1/28/14,23.53048611,1,61692.61068
1/29/14,21.63239583,1,55011.19141
1/30/14,20.28604167,1,51957.79948
1/31/14,14.11388889,1,39688.98438
2/1/14,11.35159722,0.5,32817.95573
2/2/14,8.717291667,0.5,27820.61849
